id,user,tweet,date,polarity
1470113578644652040,thomaxlebgdu59💨,Pr contre dans le métro à Lille bcp de personnes ne portent pas du tout le masque,2021-12-12 19:29:25+00:00,-1
1470027729265430530,"LR 》L'info bus,métro,tram 🥐",Avec 5 métros totalement anciens ! 😉,2021-12-12 13:48:17+00:00,-1
1470021797395546115,Clement Gnv,"Bonjour , le tunnel entre les stations St Maurice pellevoisin et gare lille Europe est très peu éclairé seulement éclairé d'un côté Bonne après midi",2021-12-12 13:24:42+00:00,-1
1470012071265902592,Dimix,"🥳 NOUVEAU PROJET : IRISBUS CITELIS 18 GNC / DIESEL 👉 Irisbus Citelis 18 Diesel 074037 👉 Irisbus Citelis 18 GNC 8600 ,6601 👉 Irisbus Citelis 18 GNC 8614 Prochainement : 👉 Irisbus Citelis 18 GNV 8702 ✅ Véhicule de et du réseau",2021-12-12 12:46:03+00:00,-1
1469993469057896456,Monsieur Exal - 🐺,"2022 , Les services numériques pullulent pour toutes les entreprises . Toutes \? Non , une entreprise résiste encore et toujours à l'envahisseur grâce à ses formulaires papiers pour avoir un abonnement v'lille .",2021-12-12 11:32:08+00:00,-1
1469972379719852034,"LR 》L'info bus,métro,tram 🥐","D'accord , je vais faire remonter l'information .",2021-12-12 10:08:20+00:00,-1
1469969243756273665,Thomas Desrumaux,"Direction Lille Europe , le chauffeur de la Liane 4 m'a informé d'un bus en panne avant mon arrêt . Certainement mon L91 .",2021-12-12 09:55:53+00:00,-1
1469967751196385280,"LR 》L'info bus,métro,tram 🥐","Bonjour , Pouvez-vous nous préciser dans quelle direction \?",2021-12-12 09:49:57+00:00,-1
1469899407990693890,ilévia Bus,"Ce dimanche matin , dès la prise de service , les déviations mises en place sur les LIANES 3 , 4 , 5 , 7 , 8 , 92 , les lignes 33 , C12 , et Citadine Lille et Roubaix sont supprimées secteurs Porte des Postes et Eurotéléport .",2021-12-12 05:18:22+00:00,-1
1469879684095688704,ilévia Tram,"ℹ️ Ce dimanche , bénéficiez d'une fréquence renforcée sur le tramway avec un départ depuis Gare Lille Flandres toutes les 10 minutes entre 10h et 13h30 et toutes les 8 minutes entre 13h30 et 19h .",2021-12-12 04:00:00+00:00,-1
