id,user,tweet,date,polarity
1467858335710027776,Dumas corentin,Avec les starlettes qu’on a sur le terrain \\\\? Permet moi de ne pas y croire une seule seconde,2021-12-06 14:07:53+00:00,0
1467858263370780680,Ahmad,Le meilleur attaquant de son poste en 2021,2021-12-06 14:07:36+00:00,0
1467858252633362438,Bpc Saad,"Votez dès maintenant pour Karim Benzema , en liste pour remporter le trophée ""FIFA The Best"" ! ➡️",2021-12-06 14:07:33+00:00,0
1467858181795819521,Aurélien,Karim Benzema c’est : •Le 5e joueur le plus titré de l’histoire du Real Madrid •Le 8e et unique étranger dans le top 10 des joueurs les plus capés du club Mais ici certains veulent nous faire croire que c’est un joueur lambda voir qu’il n’a pas le niveau pour le Real 😅,2021-12-06 14:07:16+00:00,2
1467858098933186567,Ahmad,"🌟 a fini 4è au 2021 . Bien joué , Karim !",2021-12-06 14:06:56+00:00,0
1467857784297463809,Geo,"Sur ce début de saison il a pas vraiment tort , il est clairement dans le debat avec Benzema",2021-12-06 14:05:41+00:00,0
1467857757655248902,ʀᴏᴍ,Wsh t’abuses parle pas de LDC,2021-12-06 14:05:35+00:00,0
1467857713426276360,Amine,étro 6 décembre 2005 : Karim marquait son premier but en face à Rosenborg ⚡🔥,2021-12-06 14:05:25+00:00,0
1467857614310621191,Pepitooo.,A part si Lyon gagne l'Europa League,2021-12-06 14:05:01+00:00,4
1467857582052323333,Hugoo⁉️,"Le premier but de Karim en , c’était il y a déjà 16 ans jour pour jour !",2021-12-06 14:04:53+00:00,0
1467857578877419521,El Gato 🇳🇬⚒,🚨 Les examens réalisés par Karim Benzema n'ont révélé aucune blessure importante ! Possible retour contre l'Atletico .,2021-12-06 14:04:52+00:00,4
1467857499424444419,Derrick Pas Rose,Nostalgie quand tu nous tiens ...,2021-12-06 14:04:33+00:00,4
1467857391735787523,Alex,On nous a soulé toute l’année avec Benzema pour au final qu’il gagne un trophée tik tok mdrrr,2021-12-06 14:04:08+00:00,4
1467857326937980939,Valentin,"Tiens , l'époque où on étaient craints en Europe . Ça a bien changé .",2021-12-06 14:03:52+00:00,0
1467857247074148375,Najib,Karim Benzema est actuellement à Valdebebas pour effectuer des tests et connaître l’étendu de sa blessure .,2021-12-06 14:03:33+00:00,0
1467857231450460163,Quenelle,"C'est sympa les rétro , mais ça va bientôt commencer à devenir gênant .",2021-12-06 14:03:30+00:00,2
1467857191352901634,Najib,"Casemiro : ""Perdre Benzema , c’est perdre le meilleur attaquant du monde .""",2021-12-06 14:03:20+00:00,4
1467857178950254598,Najib,Les hommes d’Ancelotti ont complété leur dernière session collective ce matin avant la réception de l’Inter . Bale et Ceballos se sont exercés seuls sur la pelouse . Benzema est resté au gymnase .,2021-12-06 14:03:17+00:00,0
1467857093017456655,FSR📈,Benzema ne souffre d'aucune déchirure aux ischio-jambiers . Il est absent pour l’Inter mais tentera de récupérer pour le derby .,2021-12-06 14:02:57+00:00,0
1467856987388010500,Dumas corentin,La ligue des champions \\\\? Ah oui la compétition qu’on risque de regarder à la télé pendant encore de très longues années .,2021-12-06 14:02:31+00:00,0
1467856846329462785,BenzeBack,Les brésiliens quand tu touches à Neymar ils en font une affaire personnel . Le mec il a réussi à faire une compil de toutes les passes de Ney à Mbappe gâchées en moins de 2h sans parler du décalage horaire 🤣,2021-12-06 14:01:58+00:00,2
1467856843229863947,Pierre,C'était autre chose que l'équipe actuelle ...,2021-12-06 14:01:57+00:00,2
